steps,periods,consumers,demand
26,0,10,7.637734732781701
26,0,11,1.3925930451376134
26,0,12,5.227077087264443
26,0,13,13.05737870480979
26,0,14,1.3925930451376134
26,0,15,5.227077087264443
27,0,0,8.718546251571563
27,0,1,1.5970103728642355
27,0,2,5.7855254940234655
27,0,3,5.7855254940234655
27,0,4,1.5970103728642355
27,0,5,1.5970103728642355
27,0,6,5.7855254940234655
27,0,7,8.718546251571563
27,0,8,14.99180517959643
27,0,9,14.99180517959643
27,0,10,8.718546251571563
27,0,11,1.5970103728642355
27,0,12,5.7855254940234655
27,0,13,14.99180517959643
27,0,14,1.5970103728642355
27,0,15,5.7855254940234655
28,0,0,11.07231355915838
28,0,1,2.0569493602491358
28,0,2,7.728925949544861
28,0,3,7.728925949544861
28,0,4,2.0569493602491358
28,0,5,2.0569493602491358
28,0,6,7.728925949544861
28,0,7,11.07231355915838
28,0,8,17.298236745688186
28,0,9,17.298236745688186
28,0,10,11.07231355915838
28,0,11,2.0569493602491358
28,0,12,7.728925949544861
28,0,13,17.298236745688186
28,0,14,2.0569493602491358
28,0,15,7.728925949544861
29,0,0,12.009016875442928
29,0,1,3.053483832916419
29,0,2,11.370009561613683
29,0,3,11.370009561613683
29,0,4,3.053483832916419
29,0,5,3.053483832916419
29,0,6,11.370009561613683
29,0,7,12.009016875442928
29,0,8,19.976673403085062
29,0,9,19.976673403085062
29,0,10,12.009016875442928
29,0,11,3.053483832916419
29,0,12,11.370009561613683
29,0,13,19.976673403085062
29,0,14,3.053483832916419
29,0,15,11.370009561613683
30,0,0,14.867162891798342
30,0,1,3.935033558737477
30,0,2,11.682740669398733
30,0,3,11.682740669398733
30,0,4,3.935033558737477
30,0,5,3.935033558737477
30,0,6,11.682740669398733
30,0,7,14.867162891798342
30,0,8,21.16708969526146
30,0,9,21.16708969526146
30,0,10,14.867162891798342
30,0,11,3.935033558737477
30,0,12,11.682740669398733
30,0,13,21.16708969526146
30,0,14,3.935033558737477
30,0,15,11.682740669398733
31,0,0,14.675018621791256
31,0,1,3.69867602355357
31,0,2,11.370009561613683
31,0,3,11.370009561613683
31,0,4,3.69867602355357
31,0,5,3.69867602355357
31,0,6,11.370009561613683
31,0,7,14.675018621791256
31,0,8,20.646282567434284
31,0,9,20.646282567434284
31,0,10,14.675018621791256
31,0,11,3.69867602355357
31,0,12,11.370009561613683
31,0,13,20.646282567434284
31,0,14,3.69867602355357
31,0,15,11.370009561613683
32,0,0,14.146621879271768
32,0,1,3.3728859074892656
32,0,2,11.101954326369352
32,0,3,11.101954326369352
32,0,4,3.3728859074892656
32,0,5,3.3728859074892656
32,0,6,11.101954326369352
32,0,7,14.146621879271768
32,0,8,19.30706423873585
32,0,9,19.30706423873585
32,0,10,14.146621879271768
32,0,11,3.3728859074892656
32,0,12,11.101954326369352
32,0,13,19.30706423873585
32,0,14,3.3728859074892656
32,0,15,11.101954326369352
33,0,0,12.801611989222161
33,0,1,3.1109762063395308
33,0,2,10.498830047069607
33,0,3,10.498830047069607
33,0,4,3.1109762063395308
33,0,5,3.1109762063395308
33,0,6,10.498830047069607
33,0,7,12.801611989222161
33,0,8,18.116647946559453
33,0,9,18.116647946559453
33,0,10,12.801611989222161
33,0,11,3.1109762063395308
33,0,12,10.498830047069607
33,0,13,18.116647946559453
33,0,14,3.1109762063395308
33,0,15,10.498830047069607
34,0,0,11.864908672937613
34,0,1,2.893782795629995
34,0,2,10.119085130473474
34,0,3,10.119085130473474
34,0,4,2.893782795629995
34,0,5,2.893782795629995
34,0,6,10.119085130473474
34,0,7,11.864908672937613
34,0,8,16.628627581338964
34,0,9,16.628627581338964
34,0,10,11.864908672937613
34,0,11,2.893782795629995
34,0,12,10.119085130473474
34,0,13,16.628627581338964
34,0,14,2.893782795629995
34,0,15,10.119085130473474
35,0,0,11.216421761663694
35,0,1,2.7404697998350294
35,0,2,9.73934021387734
35,0,3,9.73934021387734
35,0,4,2.7404697998350294
35,0,5,2.7404697998350294
35,0,6,9.73934021387734
35,0,7,11.216421761663694
35,0,8,16.107820453511795
35,0,9,16.107820453511795
35,0,10,11.216421761663694
35,0,11,2.7404697998350294
35,0,12,9.73934021387734
35,0,13,16.107820453511795
35,0,14,2.7404697998350294
35,0,15,9.73934021387734
36,0,0,10.639988951642435
36,0,1,2.708529592377744
36,0,2,9.538298787444091
36,0,3,9.538298787444091
36,0,4,2.708529592377744
36,0,5,2.708529592377744
36,0,6,9.538298787444091
36,0,7,10.639988951642435
36,0,8,15.252208743510014
36,0,9,15.252208743510014
36,0,10,10.639988951642435
36,0,11,2.708529592377744
36,0,12,9.538298787444091
36,0,13,15.252208743510014
36,0,14,2.708529592377744
36,0,15,9.538298787444091
37,0,0,10.279718445379144
37,0,1,2.682977426411916
37,0,2,9.404271169821925
37,0,3,9.404271169821925
37,0,4,2.682977426411916
37,0,5,2.682977426411916
37,0,6,9.404271169821925
37,0,7,10.279718445379144
37,0,8,14.99180517959643
37,0,9,14.99180517959643
37,0,10,10.279718445379144
37,0,11,2.682977426411916
37,0,12,9.404271169821925
37,0,13,14.99180517959643
37,0,14,2.682977426411916
37,0,15,9.404271169821925
38,0,0,10.135610242873831
38,0,1,2.7468578413264853
38,0,2,9.426609106092288
38,0,3,9.426609106092288
38,0,4,2.7468578413264853
38,0,5,2.7468578413264853
38,0,6,9.426609106092288
38,0,7,10.135610242873831
38,0,8,14.843003143074377
38,0,9,14.843003143074377
38,0,10,10.135610242873831
38,0,11,2.7468578413264853
38,0,12,9.426609106092288
38,0,13,14.843003143074377
38,0,14,2.7468578413264853
38,0,15,9.426609106092288
39,0,0,9.679267601607
39,0,1,2.8554545466812535
39,0,2,9.672326405066256
39,0,3,9.672326405066256
39,0,4,2.8554545466812535
39,0,5,2.8554545466812535
39,0,6,9.672326405066256
39,0,7,9.679267601607
39,0,8,15.289409252640525
39,0,9,15.289409252640525
39,0,10,9.679267601607
39,0,11,2.8554545466812535
39,0,12,9.672326405066256
39,0,13,15.289409252640525
39,0,14,2.8554545466812535
39,0,15,9.672326405066256
40,0,0,9.246942994091054
40,0,1,3.040707749933505
40,0,2,10.163761003014196
40,0,3,10.163761003014196
40,0,4,3.040707749933505
40,0,5,3.040707749933505
40,0,6,10.163761003014196
40,0,7,9.246942994091054
40,0,8,15.363810270901551
40,0,9,15.363810270901551
40,0,10,9.246942994091054
40,0,11,3.040707749933505
40,0,12,10.163761003014196
40,0,13,15.363810270901551
40,0,14,3.040707749933505
40,0,15,10.163761003014196
41,0,0,9.294979061592823
41,0,1,3.245125077660126
41,0,2,10.677533537232497
41,0,3,10.677533537232497
41,0,4,3.245125077660126
41,0,5,3.245125077660126
41,0,6,10.677533537232497
41,0,7,9.294979061592823
41,0,8,15.73581536220667
41,0,9,15.73581536220667
41,0,10,9.294979061592823
41,0,11,3.245125077660126
41,0,12,10.677533537232497
41,0,13,15.73581536220667
41,0,14,3.245125077660126
41,0,15,10.677533537232497
42,0,0,8.886672487827765
42,0,1,3.3281696170490673
42,0,2,11.146630198910072
42,0,3,11.146630198910072
42,0,4,3.3281696170490673
42,0,5,3.3281696170490673
42,0,6,11.146630198910072
42,0,7,8.886672487827765
42,0,8,15.661414343945648
42,0,9,15.661414343945648
42,0,10,8.886672487827765
42,0,11,3.3281696170490673
42,0,12,11.146630198910072
42,0,13,15.661414343945648
42,0,14,3.3281696170490673
42,0,15,11.146630198910072
43,0,0,8.646492150318906
43,0,1,3.366497865997809
43,0,2,11.45936130669513
43,0,3,11.45936130669513
43,0,4,3.366497865997809
43,0,5,3.366497865997809
43,0,6,11.45936130669513
43,0,7,8.646492150318906
43,0,8,15.5126123074236
43,0,9,15.5126123074236
43,0,10,8.646492150318906
43,0,11,3.366497865997809
43,0,12,11.45936130669513
43,0,13,15.5126123074236
43,0,14,3.366497865997809
43,0,15,11.45936130669513
44,0,0,8.430329846560934
44,0,1,3.23873703616867
44,0,2,11.392347497884044
44,0,3,11.392347497884044
44,0,4,3.23873703616867
44,0,5,3.23873703616867
44,0,6,11.392347497884044
44,0,7,8.430329846560934
44,0,8,14.50819856089977
44,0,9,14.50819856089977
44,0,10,8.430329846560934
44,0,11,3.23873703616867
44,0,12,11.392347497884044
44,0,13,14.50819856089977
44,0,14,3.23873703616867
44,0,15,11.392347497884044
45,0,0,7.685770800283473
45,0,1,2.8490665051897963
45,0,2,10.431816238258525
45,0,3,10.431816238258525
45,0,4,2.8490665051897963
45,0,5,2.8490665051897963
45,0,6,10.431816238258525
45,0,7,7.685770800283473
45,0,8,12.536571576982618
45,0,9,12.536571576982618
45,0,10,7.685770800283473
45,0,11,2.8490665051897963
45,0,12,10.431816238258525
45,0,13,12.536571576982618
45,0,14,2.8490665051897963
45,0,15,10.431816238258525
46,0,0,6.677013382746266
46,0,1,1.9739048208601953
46,0,2,8.734133081711102
46,0,3,8.734133081711102
46,0,4,1.9739048208601953
46,0,5,1.9739048208601953
46,0,6,8.734133081711102
46,0,7,6.677013382746266
46,0,8,10.974150193501105
46,0,9,10.974150193501105
46,0,10,6.677013382746266
46,0,11,1.9739048208601953
46,0,12,8.734133081711102
46,0,13,10.974150193501105
46,0,14,1.9739048208601953
46,0,15,8.734133081711102
47,0,0,6.917193720255126
47,0,1,1.4053691281205274
47,0,2,6.343973900782489
47,0,3,6.343973900782489
47,0,4,1.4053691281205274
47,0,5,1.4053691281205274
