steps,periods,day ahead,solar,temperature
622,0,0.14975,0.0,-1.7
623,0,0.13791,0.0,-1.7
624,0,0.135,0.0,-1.8
625,0,0.13223,0.0,-1.7
626,0,0.13032,0.0,-1.6
627,0,0.12511,0.0,-1.6
628,0,0.12831,0.0,-1.5
629,0,0.13412,0.0,-1.8
630,0,0.1510099999999999,0.0,-1.8
631,0,0.1761,0.0,-1.9
632,0,0.195,0.0,-1.7
633,0,0.19919,0.0,-1.3
634,0,0.195,0.0896404714731008,-1.0
635,0,0.19,0.2343294545918192,-0.6
636,0,0.18306,0.0689085816342705,-0.2
637,0,0.18,0.0,0.0
638,0,0.1815,0.0,-0.1
639,0,0.185,0.0,0.0
640,0,0.188,0.0,-0.3
641,0,0.19805,0.0,-0.4
642,0,0.2007,0.0,-0.5
643,0,0.1936999999999999,0.0,-0.3
644,0,0.1815,0.0,-0.2
645,0,0.16625,0.0,0.0
646,0,0.15512,0.0,0.1
647,0,0.146,0.0,0.1
648,0,0.1399,0.0,0.1
649,0,0.13506,0.0,0.1
650,0,0.13338,0.0,0.1
651,0,0.12959,0.0,0.1
652,0,0.12528,0.0,0.2
653,0,0.12283,0.0,0.1
654,0,0.12885,0.0,0.0
655,0,0.13632,0.0,0.0
656,0,0.14543,0.0,0.2
657,0,0.16016,0.0,0.7
658,0,0.16157,0.0,1.0
659,0,0.1573,0.0,1.2
660,0,0.14156,0.0,1.2
661,0,0.13532,0.0194705290845851,1.0
662,0,0.13816,0.0,0.8
663,0,0.14714,0.0,0.5
664,0,0.15427,0.0,-0.2
665,0,0.16493,0.0,-0.6
666,0,0.17406,0.0,-0.9
667,0,0.16356,0.0,-1.3
668,0,0.14996,0.0,-1.7
669,0,0.1461299999999999,0.0,-1.8
670,0,0.14223,0.0,-2.3
671,0,0.13978,0.0,-2.5
672,0,0.15485,0.0,-2.7
673,0,0.12966,0.0,-3.0
674,0,0.12623,0.0,-3.3
675,0,0.1236299999999999,0.0,-3.3
676,0,0.12387,0.0,-3.5
677,0,0.1231299999999999,0.0,-3.5
678,0,0.12774,0.0,-3.4
679,0,0.13326,0.0,-3.4
680,0,0.1480699999999999,0.0,-3.1
681,0,0.15577,0.0,-2.6
682,0,0.12476,0.1918790481652417,-2.4
683,0,0.12106,0.1969916900791695,-2.4
684,0,0.11531,0.0603731813670891,-2.1
685,0,0.11497,0.0356486835926691,-1.5
686,0,0.12103,0.0,-1.4
687,0,0.1255,0.0,-0.9
688,0,0.13009,0.0,-1.2
689,0,0.1561399999999999,0.0,-2.2
690,0,0.15336,0.0,-2.3
691,0,0.12865,0.0,-3.5
692,0,0.09984,0.0,-4.8
693,0,0.085,0.0,-4.1
694,0,0.07983,0.0,-3.8
695,0,0.06436,0.0,-4.9
696,0,0.045,0.0,-4.3
697,0,0.0059,0.0,-3.4
698,0,0.00507,0.0,-1.2
699,0,0.0020299999999999,0.0,-0.9
700,0,0.00903,0.0,-0.4
701,0,0.0374699999999999,0.0,-0.2
702,0,0.0881,0.0,-0.6
703,0,0.10218,0.0,-0.2
704,0,0.1155,0.0,0.3
705,0,0.1008,0.0,0.7
706,0,0.09681,0.0,0.4
707,0,0.08823,0.0,1.5
708,0,0.0861,0.0,1.6
709,0,0.08338,0.0,1.8
710,0,0.08836,0.0496012725069148,2.3
711,0,0.08612,0.0,2.5
712,0,0.0896899999999999,0.0,2.6
713,0,0.09862,0.0,2.6
714,0,0.09629,0.0,2.7
715,0,0.1007,0.0,2.8
716,0,0.08995,0.0,2.8
717,0,0.08685,0.0,2.8
718,0,0.08815,0.0,2.8
719,0,0.0907999999999999,0.0,2.7
720,0,0.09401,0.0,2.8
721,0,0.09815,0.0,2.2
722,0,0.09815,0.0,2.1
723,0,0.10091,0.0,2.0
724,0,0.10529,0.0,1.6
725,0,0.10953,0.0,1.9
726,0,0.14434,0.0,1.6
727,0,0.1714,0.0,2.0
728,0,0.1829799999999999,0.0,2.1
729,0,0.16994,0.0,2.4
730,0,0.16711,0.0,2.6
731,0,0.14633,0.0324767762624318,3.6
732,0,0.13823,0.0784974528821193,3.8
733,0,0.12371,0.0,2.8
734,0,0.10662,0.0,2.9
735,0,0.1080999999999999,0.0,3.4
736,0,0.10173,0.0,3.6
737,0,0.10318,0.0,3.5
738,0,0.1089599999999999,0.0,3.7
739,0,0.10028,0.0,3.7
740,0,0.09492,0.0,3.7
741,0,0.08619,0.0,4.0
742,0,0.0861,0.0,3.9
